OBS: node 1(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 3(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 4(L)	 pieces completed: 11	 	 down: 0	 up: 0 time: 0
OBS: node 5(L)	 pieces completed: 27	 	 down: 0	 up: 0 time: 0
OBS: node 6(L)	 pieces completed: 27	 	 down: 0	 up: 0 time: 0
OBS: node 7(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 8(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 9(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 10(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 11(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 0
OBS: node 13(L)	 pieces completed: 35	 	 down: 0	 up: 0 time: 0
OBS: node 14(L_Seth)	 pieces completed: 0	 	 down: 0	 up: 0 time: 0
OBS: node 1(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 3(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 4(L)	 pieces completed: 11	 	 down: 0	 up: 0 time: 10000
OBS: node 5(L)	 pieces completed: 27	 	 down: 0	 up: 0 time: 10000
OBS: node 6(L)	 pieces completed: 27	 	 down: 0	 up: 0 time: 10000
OBS: node 7(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 8(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 9(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 10(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 11(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 10000
OBS: node 13(L)	 pieces completed: 35	 	 down: 0	 up: 0 time: 10000
OBS: node 14(L_Seth)	 pieces completed: 0	 	 down: 0	 up: 0 time: 10000
OBS: node 1(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 20000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 20000
OBS: node 3(L)	 pieces completed: 2	 	 down: 2	 up: 0 time: 20000
OBS: node 4(L)	 pieces completed: 11	 	 down: 0	 up: 4 time: 20000
OBS: node 5(L)	 pieces completed: 27	 	 down: 0	 up: 10 time: 20000
OBS: node 6(L)	 pieces completed: 29	 	 down: 4	 up: 2 time: 20000
OBS: node 7(L)	 pieces completed: 2	 	 down: 5	 up: 0 time: 20000
OBS: node 8(L)	 pieces completed: 1	 	 down: 5	 up: 0 time: 20000
OBS: node 9(L)	 pieces completed: 4	 	 down: 2	 up: 0 time: 20000
OBS: node 10(L)	 pieces completed: 1	 	 down: 5	 up: 0 time: 20000
OBS: node 11(L)	 pieces completed: 6	 	 down: 2	 up: 0 time: 20000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 8 time: 20000
OBS: node 13(L)	 pieces completed: 37	 	 down: 3	 up: 9 time: 20000
OBS: node 14(L_Seth)	 pieces completed: 1	 	 down: 5	 up: 0 time: 20000
OBS: node 1(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 30000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 30000
OBS: node 3(L)	 pieces completed: 3	 	 down: 0	 up: 0 time: 30000
OBS: node 4(L)	 pieces completed: 11	 	 down: 0	 up: 2 time: 30000
OBS: node 5(L)	 pieces completed: 27	 	 down: 0	 up: 4 time: 30000
OBS: node 6(L)	 pieces completed: 31	 	 down: 5	 up: 0 time: 30000
OBS: node 7(L)	 pieces completed: 8	 	 down: 4	 up: 0 time: 30000
OBS: node 8(L)	 pieces completed: 2	 	 down: 0	 up: 0 time: 30000
OBS: node 9(L)	 pieces completed: 7	 	 down: 5	 up: 0 time: 30000
OBS: node 10(L)	 pieces completed: 3	 	 down: 4	 up: 0 time: 30000
OBS: node 11(L)	 pieces completed: 11	 	 down: 4	 up: 2 time: 30000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 6 time: 30000
OBS: node 13(L)	 pieces completed: 38	 	 down: 2	 up: 10 time: 30000
OBS: node 14(L_Seth)	 pieces completed: 2	 	 down: 0	 up: 0 time: 30000
OBS: node 1(L)	 pieces completed: 7	 	 down: 3	 up: 0 time: 40000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 40000
OBS: node 3(L)	 pieces completed: 5	 	 down: 3	 up: 0 time: 40000
OBS: node 4(L)	 pieces completed: 13	 	 down: 5	 up: 4 time: 40000
OBS: node 5(L)	 pieces completed: 28	 	 down: 5	 up: 9 time: 40000
OBS: node 6(L)	 pieces completed: 33	 	 down: 4	 up: 4 time: 40000
OBS: node 7(L)	 pieces completed: 9	 	 down: 0	 up: 0 time: 40000
OBS: node 8(L)	 pieces completed: 3	 	 down: 5	 up: 5 time: 40000
OBS: node 9(L)	 pieces completed: 9	 	 down: 4	 up: 0 time: 40000
OBS: node 10(L)	 pieces completed: 5	 	 down: 5	 up: 0 time: 40000
OBS: node 11(L)	 pieces completed: 12	 	 down: 5	 up: 0 time: 40000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 10 time: 40000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 8 time: 40000
OBS: node 14(L_Seth)	 pieces completed: 9	 	 down: 1	 up: 0 time: 40000
OBS: node 1(L)	 pieces completed: 14	 	 down: 3	 up: 0 time: 50000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 50000
OBS: node 3(L)	 pieces completed: 5	 	 down: 0	 up: 0 time: 50000
OBS: node 4(L)	 pieces completed: 13	 	 down: 0	 up: 5 time: 50000
OBS: node 5(L)	 pieces completed: 29	 	 down: 2	 up: 0 time: 50000
OBS: node 6(L)	 pieces completed: 34	 	 down: 3	 up: 0 time: 50000
OBS: node 7(L)	 pieces completed: 10	 	 down: 4	 up: 0 time: 50000
OBS: node 8(L)	 pieces completed: 3	 	 down: 0	 up: 0 time: 50000
OBS: node 9(L)	 pieces completed: 10	 	 down: 2	 up: 0 time: 50000
OBS: node 10(L)	 pieces completed: 7	 	 down: 3	 up: 0 time: 50000
OBS: node 11(L)	 pieces completed: 13	 	 down: 0	 up: 0 time: 50000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 5 time: 50000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 9 time: 50000
OBS: node 14(L_Seth)	 pieces completed: 16	 	 down: 2	 up: 0 time: 50000
OBS: node 1(L)	 pieces completed: 22	 	 down: 3	 up: 0 time: 60000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 60000
OBS: node 3(L)	 pieces completed: 5	 	 down: 0	 up: 0 time: 60000
OBS: node 4(L)	 pieces completed: 14	 	 down: 5	 up: 3 time: 60000
OBS: node 5(L)	 pieces completed: 31	 	 down: 5	 up: 0 time: 60000
OBS: node 6(L)	 pieces completed: 35	 	 down: 0	 up: 1 time: 60000
OBS: node 7(L)	 pieces completed: 13	 	 down: 3	 up: 0 time: 60000
OBS: node 8(L)	 pieces completed: 4	 	 down: 0	 up: 0 time: 60000
OBS: node 9(L)	 pieces completed: 12	 	 down: 4	 up: 9 time: 60000
OBS: node 10(L)	 pieces completed: 8	 	 down: 4	 up: 0 time: 60000
OBS: node 11(L)	 pieces completed: 14	 	 down: 4	 up: 0 time: 60000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 9 time: 60000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 6 time: 60000
OBS: node 14(L_Seth)	 pieces completed: 17	 	 down: 0	 up: 0 time: 60000
OBS: node 1(L)	 pieces completed: 22	 	 down: 0	 up: 2 time: 70000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 70000
OBS: node 3(L)	 pieces completed: 7	 	 down: 3	 up: 0 time: 70000
OBS: node 4(L)	 pieces completed: 16	 	 down: 4	 up: 1 time: 70000
OBS: node 5(L)	 pieces completed: 32	 	 down: 5	 up: 0 time: 70000
OBS: node 6(L)	 pieces completed: 38	 	 down: 3	 up: 0 time: 70000
OBS: node 7(L)	 pieces completed: 14	 	 down: 0	 up: 0 time: 70000
OBS: node 8(L)	 pieces completed: 11	 	 down: 1	 up: 0 time: 70000
OBS: node 9(L)	 pieces completed: 13	 	 down: 5	 up: 0 time: 70000
OBS: node 10(L)	 pieces completed: 9	 	 down: 1	 up: 3 time: 70000
OBS: node 11(L)	 pieces completed: 14	 	 down: 0	 up: 0 time: 70000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 10 time: 70000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 8 time: 70000
OBS: node 14(L_Seth)	 pieces completed: 24	 	 down: 2	 up: 0 time: 70000
OBS: node 1(L)	 pieces completed: 26	 	 down: 3	 up: 0 time: 80000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 80000
OBS: node 3(L)	 pieces completed: 14	 	 down: 1	 up: 0 time: 80000
OBS: node 4(L)	 pieces completed: 19	 	 down: 2	 up: 4 time: 80000
OBS: node 5(L)	 pieces completed: 33	 	 down: 2	 up: 0 time: 80000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 80000
OBS: node 7(L)	 pieces completed: 21	 	 down: 3	 up: 0 time: 80000
OBS: node 8(L)	 pieces completed: 12	 	 down: 0	 up: 3 time: 80000
OBS: node 9(L)	 pieces completed: 15	 	 down: 3	 up: 3 time: 80000
OBS: node 10(L)	 pieces completed: 9	 	 down: 0	 up: 0 time: 80000
OBS: node 11(L)	 pieces completed: 21	 	 down: 4	 up: 0 time: 80000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 4 time: 80000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 80000
OBS: node 14(L_Seth)	 pieces completed: 25	 	 down: 0	 up: 0 time: 80000
OBS: node 1(L)	 pieces completed: 34	 	 down: 2	 up: 0 time: 90000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 90000
OBS: node 3(L)	 pieces completed: 22	 	 down: 5	 up: 0 time: 90000
OBS: node 4(L)	 pieces completed: 26	 	 down: 3	 up: 4 time: 90000
OBS: node 5(L)	 pieces completed: 33	 	 down: 0	 up: 1 time: 90000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 7 time: 90000
OBS: node 7(L)	 pieces completed: 29	 	 down: 4	 up: 0 time: 90000
OBS: node 8(L)	 pieces completed: 12	 	 down: 0	 up: 0 time: 90000
OBS: node 9(L)	 pieces completed: 16	 	 down: 0	 up: 0 time: 90000
OBS: node 10(L)	 pieces completed: 9	 	 down: 0	 up: 0 time: 90000
OBS: node 11(L)	 pieces completed: 29	 	 down: 2	 up: 1 time: 90000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 90000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 90000
OBS: node 14(L_Seth)	 pieces completed: 25	 	 down: 0	 up: 0 time: 90000
OBS: node 1(L)	 pieces completed: 34	 	 down: 0	 up: 3 time: 100000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 100000
OBS: node 3(L)	 pieces completed: 25	 	 down: 4	 up: 0 time: 100000
OBS: node 4(L)	 pieces completed: 29	 	 down: 2	 up: 0 time: 100000
OBS: node 5(L)	 pieces completed: 36	 	 down: 5	 up: 0 time: 100000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 10 time: 100000
OBS: node 7(L)	 pieces completed: 34	 	 down: 4	 up: 0 time: 100000
OBS: node 8(L)	 pieces completed: 12	 	 down: 0	 up: 0 time: 100000
OBS: node 9(L)	 pieces completed: 16	 	 down: 0	 up: 1 time: 100000
OBS: node 10(L)	 pieces completed: 13	 	 down: 3	 up: 0 time: 100000
OBS: node 11(L)	 pieces completed: 32	 	 down: 4	 up: 1 time: 100000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 8 time: 100000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 100000
OBS: node 14(L_Seth)	 pieces completed: 32	 	 down: 3	 up: 0 time: 100000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 110000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 110000
OBS: node 3(L)	 pieces completed: 28	 	 down: 5	 up: 0 time: 110000
OBS: node 4(L)	 pieces completed: 34	 	 down: 3	 up: 0 time: 110000
OBS: node 5(L)	 pieces completed: 36	 	 down: 0	 up: 0 time: 110000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 7 time: 110000
OBS: node 7(L)	 pieces completed: 38	 	 down: 2	 up: 0 time: 110000
OBS: node 8(L)	 pieces completed: 12	 	 down: 0	 up: 0 time: 110000
OBS: node 9(L)	 pieces completed: 16	 	 down: 0	 up: 0 time: 110000
OBS: node 10(L)	 pieces completed: 15	 	 down: 3	 up: 0 time: 110000
OBS: node 11(L)	 pieces completed: 36	 	 down: 1	 up: 1 time: 110000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 4 time: 110000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 110000
OBS: node 14(L_Seth)	 pieces completed: 32	 	 down: 0	 up: 0 time: 110000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 120000
OBS: node 3(L)	 pieces completed: 33	 	 down: 1	 up: 0 time: 120000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 120000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 8(L)	 pieces completed: 12	 	 down: 0	 up: 0 time: 120000
OBS: node 9(L)	 pieces completed: 16	 	 down: 0	 up: 0 time: 120000
OBS: node 10(L)	 pieces completed: 17	 	 down: 4	 up: 0 time: 120000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 4 time: 120000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 2(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 130000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 8(L)	 pieces completed: 12	 	 down: 0	 up: 0 time: 130000
OBS: node 9(L)	 pieces completed: 16	 	 down: 0	 up: 0 time: 130000
OBS: node 10(L)	 pieces completed: 21	 	 down: 4	 up: 0 time: 130000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 4 time: 130000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 130000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 140000
OBS: node 2(L)	 pieces completed: 4	 	 down: 4	 up: 0 time: 140000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 140000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 140000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 140000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 140000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 140000
OBS: node 8(L)	 pieces completed: 20	 	 down: 2	 up: 0 time: 140000
OBS: node 9(L)	 pieces completed: 22	 	 down: 3	 up: 0 time: 140000
OBS: node 10(L)	 pieces completed: 23	 	 down: 4	 up: 3 time: 140000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 140000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 4 time: 140000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 140000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 140000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 150000
OBS: node 2(L)	 pieces completed: 7	 	 down: 4	 up: 0 time: 150000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 150000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 3 time: 150000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 150000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 150000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 150000
OBS: node 8(L)	 pieces completed: 27	 	 down: 4	 up: 0 time: 150000
OBS: node 9(L)	 pieces completed: 26	 	 down: 1	 up: 0 time: 150000
OBS: node 10(L)	 pieces completed: 25	 	 down: 4	 up: 2 time: 150000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 150000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 3 time: 150000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 150000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 150000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 160000
OBS: node 2(L)	 pieces completed: 13	 	 down: 2	 up: 0 time: 160000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 160000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 3 time: 160000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 160000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 160000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 160000
OBS: node 8(L)	 pieces completed: 33	 	 down: 2	 up: 0 time: 160000
OBS: node 9(L)	 pieces completed: 30	 	 down: 3	 up: 0 time: 160000
OBS: node 10(L)	 pieces completed: 28	 	 down: 2	 up: 0 time: 160000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 160000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 160000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 160000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 160000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 170000
OBS: node 2(L)	 pieces completed: 20	 	 down: 1	 up: 0 time: 170000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 170000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 170000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 170000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 170000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 170000
OBS: node 8(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 170000
OBS: node 9(L)	 pieces completed: 34	 	 down: 2	 up: 0 time: 170000
OBS: node 10(L)	 pieces completed: 32	 	 down: 1	 up: 0 time: 170000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 170000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 170000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 170000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 170000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 180000
OBS: node 2(L)	 pieces completed: 20	 	 down: 0	 up: 0 time: 180000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 180000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 180000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 180000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 180000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 180000
OBS: node 8(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 180000
OBS: node 9(L)	 pieces completed: 37	 	 down: 3	 up: 0 time: 180000
OBS: node 10(L)	 pieces completed: 35	 	 down: 1	 up: 0 time: 180000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 180000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 180000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 180000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 180000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 2(L)	 pieces completed: 22	 	 down: 5	 up: 0 time: 190000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 8(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 9(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 10(L)	 pieces completed: 37	 	 down: 5	 up: 4 time: 190000
OBS: node 11(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 5 time: 190000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 190000
OBS: node 14(S_Seth)	 pieces completed: 39	 	 down: 0	 up: 0 time: 190000
OBS: node 1(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
OBS: node 2(L)	 pieces completed: 25	 	 down: 1	 up: 0 time: 200000
OBS: node 3(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
OBS: node 4(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
OBS: node 5(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
OBS: node 6(S)	 pieces completed: 39	 	 down: 0	 up: 1 time: 200000
OBS: node 7(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
OBS: node 8(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
OBS: node 9(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
OBS: node 10(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 200000
